id,Last_Name,Name,School,Researcher,Home_Dept,Areas_Expertise,Sub_Headings,Start_Year,Depart_Year,Scholar_Identifier,Scholar_Url,Scholar_Keywords
81,Turner,Thomas Turner, UCSB,Thomas Turner UCSB,EEMB,Evolutionary Genetics,Evolution; Genetics,2010,,#NAME?,https://scholar.google.com/citations?user=-JrND60AAAAJ&view_op=list_works&sortby=pubdate,['The causes and consequences of genetic …']
82,Wilbanks,Lizzie Wilbanks, UCSB,Lizzie Wilbanks UCSB,EEMB,Bioinformatics,,2016,,9Jcd7mcAAAAJ,https://scholar.google.com/citations?user=9Jcd7mcAAAAJ&view_op=list_works&sortby=pubdate,['Marine Microbial Ecology and Evolution']
83,Young,Hillary Young, UCSB,Hillary Young UCSB,EEMB,Community ecology and human disturbance,Community Ecology; Conservation,2014,,X-2BjW4AAAAJ,https://scholar.google.com/citations?user=X-2BjW4AAAAJ&view_op=list_works&sortby=pubdate,"['conservation biology', 'ecology', 'community', 'food-web', 'disease ecology']"
84,D’Antonio,Carla D’Antonio, UCSB,Carla D’Antonio UCSB,EEMB / Env Studies,"Plant and ecosystem ecology, invasive species, species affects on ecosystem processes, restoration ecology.",Community Ecology; Ecosystem Ecology; Conservation,,2025,qYym6p0AAAAJ,https://scholar.google.com/citations?user=qYym6p0AAAAJ&view_op=list_works&sortby=pubdate,['plant community and ecosystem ecology']
85,Froelich,Halley Froelich, UCSB,Halley Froelich UCSB,EEMB / Env Studies,Aquatic farming and Climate Change,"Food Systems, Marine Ecology, Conservation",2018,,072ktIQAAAAJ,https://scholar.google.com/citations?user=072ktIQAAAAJ&view_op=list_works&sortby=pubdate,"['Aquaculture', 'Marine Ecology', 'Fisheries', 'Climate Change', 'Ecophysiology']"
86,Schimel,Josh Schimel, UCSB,Josh Schimel UCSB,EEMB / Env Studies,Ecosystem ecology – Soil ecology; microbial controls of ecosystem processes; terrestrial biogeochemistry,Soils; Ecosystem Ecology; Env Microbiology,,,uzDaznAAAAAJ,https://scholar.google.com/citations?user=uzDaznAAAAAJ&view_op=list_works&sortby=pubdate,"['soil science', 'ecology', 'arctic science', 'microbial ecology']"
87,Alagona,Peter Alagona, UCSB,Peter Alagona UCSB,Environmental Studies,"Environmental history, history of science, wildlife and endangered species, California",Environmental History,,,none,none,none
88,Cleveland,David Cleveland, UCSB,David Cleveland UCSB,Environmental Studies,"Sustainable, small-scale agrifood systems: plant breeding, climate change, nutrition, food sovereignty.",LULCC; Conservation,,2016,Q8pkoBAAAAAJ,https://scholar.google.com/citations?user=Q8pkoBAAAAAJ&view_op=list_works&sortby=pubdate,"['Local food systems', 'food & climate justice', 'diet & nutrition', 'plant breeding & crop genetic resources', 'local & scientific knowle']"
89,Gray,Summer Gray, UCSB,Summer Gray UCSB,Environmental Studies,"Environment and Society, Infrastructure and Adaptation, Climate Justice Studies","Environmental Justice, Environmental Politics",2017,,none,none,none
90,Heilmayr,Robert Heilmayr, UCSB,Robert Heilmayr UCSB,Environmental Studies,"Environmental economics, Ecological economics, Land systems science",Environmental Economics; Conservation,2017,,4n0166UAAAAJ,https://scholar.google.com/citations?user=4n0166UAAAAJ&view_op=list_works&sortby=pubdate,"['Land Systems Science', 'Environmental Economics', 'Conservation Biology', 'Remote Sensing', 'Climate Policy']"
91,Pellow,David Pellow, UCSB,David Pellow UCSB,Environmental Studies,"Environmental Justice, Social Change",Environmental Politics,2016,,none,none,none
92,Perrone,Debra Perrone, UCSB,Debra Perrone UCSB,Environmental Studies,"Water Resources Engineering, Groundwater Science and Policy","Hydrology, Coupled Natural Human Systems",2017,,BmbVaAgAAAAJ,https://scholar.google.com/citations?user=BmbVaAgAAAAJ&view_op=list_works&sortby=pubdate,"['Water', 'Energy', 'Food']"
93,Pulver,Simone Pulver, UCSB,Simone Pulver UCSB,Environmental Studies,"Global environmental politics, organizational theory, and the sociology of development",Environmental Politics,,,rsyLfcEAAAAJ,https://scholar.google.com/citations?user=rsyLfcEAAAAJ&view_op=list_works&sortby=pubdate,['Simone Pulver']
94,Stonich,Susan Stonich, UCSB,Susan Stonich UCSB,Environmental Studies,Ecological anthropology and third world environmental problems,Human Geography,,2014,none,none,none
95,Wilkinson,Robert Wilkinson, UCSB,Robert Wilkinson UCSB,Environmental Studies,"Environmental policy, water and watershed policy, energy, climate change, urban environment.",Environmental Politics,,2015,none,none,none
96,Harthorn,Barbara Harthorn, UCSB,Barbara Harthorn UCSB,Feminist Studies,Nanomaterials and Environmental Risk Perception,Environmental Politics,,,NnxLL5YAAAAJ,https://scholar.google.com/citations?user=NnxLL5YAAAAJ&view_op=list_works&sortby=pubdate,"['Risk perception', 'medical anthropology', 'health inequality', 'environmental health', 'deliberation']"
97,Bookhagen,Bodo Bookhagen, UCSB,Bodo Bookhagen UCSB,Geography,"Geomorphology – remote sensing, hydrology, cosmogenic isotopes, climate change",Geomorphology; Hydrology,,2014,_UuIymgAAAAJ,https://scholar.google.com/citations?user=_UuIymgAAAAJ&view_op=list_works&sortby=pubdate,"['Remote Sensing', 'Geomorphology', 'Water resources', 'Quaternary Geochronology']"
98,Carvalho,Leila Carvalho, UCSB,Leila Carvalho UCSB,Geography,Atmospheric science – Regional and large-scale climate variability; scaling processes in geophysics,Climate; Atmospheric Science,,,HCfUlVIAAAAJ,https://scholar.google.com/citations?user=HCfUlVIAAAAJ&view_op=list_works&sortby=pubdate,"['climate', 'atmospheric sciences', 'meteorology']"
99,Cassels,Susan Cassels, UCSB,Susan Cassels UCSB,Geography,Epidemiology & mathematical modeling; social network analysis; infectious disease epidemiology,Human Geography,2015,,iZiXeBcAAAAJ,https://scholar.google.com/citations?user=iZiXeBcAAAAJ&view_op=list_works&sortby=pubdate,['Susan Cassels']
100,Chadwick,Oliver Chadwick, UCSB,Oliver Chadwick UCSB,Geography,Biogeosciences; soil science,Soils; Geomorphology,,2019,G8HrBaYAAAAJ,https://scholar.google.com/citations?user=G8HrBaYAAAAJ&view_op=list_works&sortby=pubdate,"['geomorphology', 'biogeochemistry', 'soil science']"
101,Chrastil,Liz Chrastil, UCSB,Liz Chrastil UC Irvine,Geography,"Cognitive and Behavioral Geography, Human-Environment Relations",,2017,,e-ItyiIAAAAJ,https://scholar.google.com/citations?user=e-ItyiIAAAAJ&view_op=list_works&sortby=pubdate,"['Navigation', 'Spatial Cognition', 'Memory', 'Virtual Environments']"
102,Chu,Vena Chu, UCSB,Vena Chu UCSB,Geography,"Remote sensing, Cryosphere, Arctic climate change",,2018,,28mqRI8AAAAJ,https://scholar.google.com/citations?user=28mqRI8AAAAJ&view_op=list_works&sortby=pubdate,"['Arctic', 'Cryosphere', 'Greenland', 'Hydrology', 'Remote sensing']"
103,Church,Richard Church, UCSB,Richard Church UCSB,Geography,"Geographic Information Science, Transportation",Transportation; Human Geography; GIScience,,2018,t4-JG2IAAAAJ,https://scholar.google.com/citations?user=t4-JG2IAAAAJ&view_op=list_works&sortby=pubdate,"['location modeling', 'GIScience', 'operations research', 'transportation', 'Regional Science']"
104,Clarke,Keith Clarke, UCSB,Keith Clarke UCSB,Geography,Geographic Information Science; Cartography,GIScience; LULCC; Human Geography,,2021,fjZMW1oAAAAJ,https://scholar.google.com/citations?user=fjZMW1oAAAAJ&view_op=list_works&sortby=pubdate,"['Cartography', 'geographic information systems', 'urban modeling', 'geocomputation']"
105,Couclelis,Helen Couclelis, UCSB,Helen Couclelis UCSB,Geography,"Cognitive and Behavioral Geography, Geographic Information Science, Human-Environment Relations",Human Geography; Cognition,,2015,STbfwjsAAAAJ,https://scholar.google.com/citations?user=STbfwjsAAAAJ&view_op=list_works&sortby=pubdate,"['Geographic information science', 'urban modelling and planning', 'spatial cognition']"
106,DeVries,Timothy DeVries, UCSB,Timothy DeVries UCSB,Geography,Global ocean modeling; cycling of carbon and nutrients,"Biological, Chemical & Physical Oceanography; Paleoclimate",2014,,1Z6XrOUAAAAJ,https://scholar.google.com/citations?user=1Z6XrOUAAAAJ&view_op=list_works&sortby=pubdate,['Ocean circulation and biogeochemistry']
107,Dickey,Tommy Dickey, UCSB,Tommy Dickey UCSB,Geography,Optical and physical oceanography; ocean instrumentation,Biological & Physical Oceanography,,2016,none,none,none
108,Ding,Qinghua Ding, UCSB,Qinghua Ding UCSB,Geography,Climate  Dynamics,,2017,,P2YMInoAAAAJ,https://scholar.google.com/citations?user=P2YMInoAAAAJ&view_op=list_works&sortby=pubdate,['Climate Dynamics & Polar Climate Change']
109,Ganti,Vamsi Ganti, UCSB,Vamsi Ganti UCSB,Geography,Fluvial Geomorphology,"Hydrology, Geomorphology",2018,,qrDqBXEAAAAJ,https://scholar.google.com/citations?user=qrDqBXEAAAAJ&view_op=list_works&sortby=pubdate,"['Sedimentology', 'Geomorphology']"
110,Gautier,Catherine Gautier, UCSB,Catherine Gautier UCSB,Geography,"Climate science – atmospheric science, radiation, climate change, education",Climate; Atmospheric Science,,2013,none,none,none
111,Goulias,Kostas Goulias, UCSB,Kostas Goulias UCSB,Geography,"Geographic Information Science, Transportation",GIScience; Transportation; Human Geography,,,xdXTW7wAAAAJ,https://scholar.google.com/citations?user=xdXTW7wAAAAJ&view_op=list_works&sortby=pubdate,"['Transportation Systems Modeling and …', 'Travel Behavior', 'Transportation Policy and Planning', 'Geographic Information Scie']"
112,Janowicz,Krzysztof Janowicz, UCSB,Krzysztof Janowicz UCSB,Geography,Geographic Information Science,GIScience,2011,,6B2Z9vAAAAAJ,https://scholar.google.com/citations?user=6B2Z9vAAAAAJ&view_op=list_works&sortby=pubdate,"['GIScience', 'Semantic Web', 'Geospatial Semantics', 'Spatial Data Science', 'Web Science']"
113,Jones,Charles Jones, UCSB,Charles Jones UCSB,Geography,"Atmospheric science – Regional and large-scale climate variability and modeling, air-sea interaction",Climate; Atmospheric Science,2013,,PHyhP_AAAAAJ,https://scholar.google.com/citations?user=PHyhP_AAAAAJ&view_op=list_works&sortby=pubdate,"['meteorology', 'climate', 'climate change', 'predictability', 'climate variability']"
114,King,Jennifer King, UCSB,Jennifer King UCSB,Geography,Terrestrial biogeochemistry; Soil Science,Soils; Ecosystem Ecology,,,yaLhLgkAAAAJ,https://scholar.google.com/citations?user=yaLhLgkAAAAJ&view_op=list_works&sortby=pubdate,"['Biogeochemistry', 'Earth System Science']"
115,Kuhn,Werner Kuhn, UCSB,Werner Kuhn UCSB,Geography,Geographic Information Science,GIScience,2013,2024,SQsXfZAAAAAJ,https://scholar.google.com/citations?user=SQsXfZAAAAAJ&view_op=list_works&sortby=pubdate,"['GIS', 'spatial information and computing', 'semantics of information', 'ontology', 'usability']"
116,Kyriakidis,Phaedon Kyriakidis, UCSB,Phaedon Kyriakidis Cyprus University of Technology,Geography,Geographic Information Science; geostatistics ,GIScience,,2014,Z7cYMycAAAAJ,https://scholar.google.com/citations?user=Z7cYMycAAAAJ&view_op=list_works&sortby=pubdate,"['geoanalytics', 'geocomputation', 'geoinformatics', 'geostatistics', 'GIS']"
117,Loaiciga,Hugo Loaiciga, UCSB,Hugo Loaiciga UCSB,Geography,Groundwater hydrology; water resources,Hydrology,,2022,WQ9iC9kAAAAJ,https://scholar.google.com/citations?user=WQ9iC9kAAAAJ&view_op=list_works&sortby=pubdate,['Hydrology and Water Resources']
118,Lopez-Carr,David Lopez-Carr, UCSB,David Lopez-Carr UCSB,Geography,Human-Environment Relations; Demography & migration,Human Geography,,,w_JW40AAAAAJ,https://scholar.google.com/citations?user=w_JW40AAAAAJ&view_op=list_works&sortby=pubdate,"['population', 'health', 'environment']"
119,McFadden,Joseph McFadden, UCSB,Joseph McFadden UCSB,Geography,"Land-use and land-cover change, biosphere-atmosphere interactions, Earth system science, urban ecology","LULCC; Land-atmosphere interaction; Ecosystems Ecology, Ecophysiology",,,none,none,none
120,Michaelsen,Joel Michaelsen, UCSB,Joel Michaelsen UCSB,Geography,"Climatology, meteorology, and statistics",Climate; Atmospheric Science,,2014,none,none,none
121,Montello,Dan Montello, UCSB,Dan Montello UCSB,Geography,"Cognitive and Behavioral Geography, Geographic Information Science, Human-Environment Relations",Human Geography; Cognition,,,none,none,none
122,Murray,Alan Murray, UCSB,Alan Murray UCSB,Geography,GIS/Transport,GIScience; Transportaion; Human Geography,2016,,Raj7sewAAAAJ,https://scholar.google.com/citations?user=Raj7sewAAAAJ&view_op=list_works&sortby=pubdate,"['GIScience', 'location modeling', 'spatial optimization', 'regional science', 'spatial data science']"
123,Nidzieko,Nick Nidzieko, UCSB,Nick Nidzieko UCSB,Geography,Estuarine and Coastal Processes,Physical Oceanography and Marine Ecology,2015,,UmAJBOIAAAAJ,https://scholar.google.com/citations?user=UmAJBOIAAAAJ&view_op=list_works&sortby=pubdate,"['Coastal oceanography', 'autonomous platforms']"
124,Raubal,Martin Raubal, UCSB,Martin Raubal ETH Zurich,Geography,"Cognitive Engineering for Geospatial Services, Cognitive semantic interoperability",GIScience,,2014,EjJ4kswAAAAJ,https://scholar.google.com/citations?user=EjJ4kswAAAAJ&view_op=list_works&sortby=pubdate,['Geographic Information Science']
125,Roberts,Dar Roberts, UCSB,Dar Roberts UCSB,Geography,"Terrestrial ecosystems – Remote sensing of vegetation, geology, ecology, and ecophysiology",Landscape Ecology; Ecophysiology; LULCC,,,v5VGkXMAAAAJ,https://scholar.google.com/citations?user=v5VGkXMAAAAJ&view_op=list_works&sortby=pubdate,['Remote sensing']
126,Siegel,David Siegel, UCSB,David Siegel UCSB,Geography,Interdisciplinary marine science; global biogeochemistry; coastal processes; spatial ecology,Biological & Physical Oceanography; Marine & Spatial Ecology,,,i5ZL1ywAAAAJ,https://scholar.google.com/citations?user=i5ZL1ywAAAAJ&view_op=list_works&sortby=pubdate,"['Oceanography', 'Marine Science', 'Biogeochemistry', 'Remote Sensing', 'Spatial Ecology']"
127,Sweeney,Stuart Sweeney, UCSB,Stuart Sweeney UCSB,Geography,Human-Environment Relations; spatial econometrics,Human Geography,,,QebCBSUAAAAJ,https://scholar.google.com/citations?user=QebCBSUAAAAJ&view_op=list_works&sortby=pubdate,['Stuart Sweeney']
128,Washburn,Libe Washburn, UCSB,Libe Washburn UCSB,Geography,"Coastal circulation, mesoscale processes, air-sea interaction, and interdisciplinary oceanography",Physical Oceanography,,2020,8PNXV2wAAAAJ,https://scholar.google.com/citations?user=8PNXV2wAAAAJ&view_op=list_works&sortby=pubdate,['Libe Washburn']
129,Caylor,Kelly Caylor, UCSB,Kelly Caylor UCSB,Geography/Bren/ ERI,Ecohydrology,Hydrology; Ecosystem Ecology; Human-Environment; Food Systems; ,2016,,VGaoB64AAAAJ,https://scholar.google.com/citations?user=VGaoB64AAAAJ&view_op=list_works&sortby=pubdate,"['Ecohydrology', 'Environmental Sciences', 'Ecology', 'Hydrology', 'Water Resources']"
130,Carlson,Jean Carlson, UCSB,Jean Carlson UCSB,Physics,"Robustness, tradeoffs, and feedback in complex, highly connected systems.",Geophysics,,,none,none,none
131,Deshmukh,Ranjit Deshmukh, UCSB,Ranjit Deshmukh UCSB,Environmental Studies,"Energy systems and policy analysis; electricity sector planning, operations, and markets; geospatial analysis of energy resources; energy access in developing regions",Environmental Politics,2019,,FjU4kL0AAAAJ,https://scholar.google.com/citations?user=FjU4kL0AAAAJ&view_op=list_works&sortby=pubdate,"['renewable energy', 'solar', 'wind', 'biomass', 'policy']"
132,Krintz,Chandra Krintz, UCSB,Chandra Krintz UCSB,Computer Science,"Programming systems, cloud computing and services, and the Internet of Things (IoT)",,2001,,none,none,none
133,O'Malley,Michelle O'Malley, UCSB,Michelle O'Malley UCSB,Chemical Engineering,"Bioengineering
Energy, Efficiency & Sustainability",,2018,,d3FwJjMAAAAJ,https://scholar.google.com/citations?user=d3FwJjMAAAAJ&view_op=list_works&sortby=pubdate,"['anaerobic fungi', 'microbial consortia', 'bioengineering', 'sustainability', 'membrane proteins']"
134,Stevenson,Samantha Stevenson, UCSB,Samantha Stevenson UCSB,Bren School,"Climate Modeling, Drought, Oceanography, Climate Dynamics","Climate; Hydrology, Oceanography",2017,,vNZ4mYoAAAAJ,https://scholar.google.com/citations?user=vNZ4mYoAAAAJ&view_op=list_works&sortby=pubdate,['Samantha Stevenson']
135,Bair,Edward (Ned) Bair, UCSB,Edward Bair UCSB,ERI,"Snow Hydrology, Earth System Science, Remote Sensing",,,,WvcxF9AAAAAJ,https://scholar.google.com/citations?user=WvcxF9AAAAAJ&view_op=list_works&sortby=pubdate,['snow']
136,Beccera,Caryl Beccera, UCSB,Caryl Beccera UCSB,ERI,"Soil microbial ecologist utilizing geochemical, molecular, and microbiological techniques",,,,none,none,none
137,Bell,Tom Bell, UCSB,Tom Bell UCSB,ERI,"Marine science - interaction between biotic and abiotic environment and coastal marine foundation species (giant kelp, coral, seagrass). Remote sensing.",,,,pGPS-JkAAAAJ,https://scholar.google.com/citations?user=pGPS-JkAAAAJ&view_op=list_works&sortby=pubdate,"['Spatial Ecology', 'Ecosystem Ecology', 'Remote Sensing', 'Geography']"
138,Blankinship,Joseph Blankinship, UCSB,Joseph Blankinship University of Arizona,ERI,"Soil ecology, biogeochemistry, and health; ecosysetem responses to climate change.",,,,VGR3kV0AAAAJ,https://scholar.google.com/citations?user=VGR3kV0AAAAJ&view_op=list_works&sortby=pubdate,"['Soil microbial ecology', 'biogeochemistry', 'global change', 'soil greenhouse gas emissions', 'nutrient cycling']"
139,Blanchette,Carol Blanchette, UCSB,Carol Blanchette UCSB,NRS,Marine and community ecology,,,,MvssjqIAAAAJ,https://scholar.google.com/citations?user=MvssjqIAAAAJ&view_op=list_works&sortby=pubdate,['Aquatic and Marine Ecology']
140,Booth,Derek Booth, UCSB,Derek Booth UCSB,ERI and Bren,Environmental Geomorphology,,,,Xq4ZDiAAAAAJ,https://scholar.google.com/citations?user=Xq4ZDiAAAAAJ&view_op=list_works&sortby=pubdate,['Derek B. Booth']
141,Bray,Erin Bray, UCSB,"Erin Bray California State University, Northridge",ERI,"River Systems, Hydrology, Fluvial Geomorphology",,,,Swemnm8AAAAJ,https://scholar.google.com/citations?user=Swemnm8AAAAJ&view_op=list_works&sortby=pubdate,"['Hydrology', 'Fluvial Geomorphology', 'River Systems Science', 'Water Resources Management']"
142,Carbone,Mariah Carbone, UCSB,Mariah Carbone Northern Arizona University,NCEAS,"Earth system science, climate change, global change ecology, terrestrial biogeochemical cycling, isotopes (mainly 14C), biosphere-atmosphere exchanges of carbon, water, and energy, plant-soil interactions, partitioning respiration",,,,hChc37cAAAAJ,https://scholar.google.com/citations?user=hChc37cAAAAJ&view_op=list_works&sortby=pubdate,"['Climate change', 'earth system science', 'ecology', 'isotopes', 'radiocarbon']"
143,Clarke,Brian Clarke, UCSB,Brian Clarke UCSB,ERI,Cartography – GIS - modeling land use change,,,,none,none,none
144,Collins,Mary Collins, UCSB,Mary Collins SUNY,ERI,Environmental sociology focused on environmental inequality,,,,3m74G6MAAAAJ,https://scholar.google.com/citations?user=3m74G6MAAAAJ&view_op=list_works&sortby=pubdate,"['Environmental Sociology', 'Environmental Inequality', 'Disproportionality']"
145,Crempien,Jorge Crempien, UCSB,Jorge Crempien Pontificia Universidad,ERI,"Earthquake seismology, from the understanding of the physical process based on seismic and geodetic records, to the simulation of soil movement caused by earthquakes",,,,QLPrt30AAAAJ,https://scholar.google.com/citations?user=QLPrt30AAAAJ&view_op=list_works&sortby=pubdate,"['Strong motion', 'earthquake physics', 'seismology']"
146,DeVecchio,Duane DeVecchio, UCSB,Duane DeVecchio UCSB,ERI and Arizona State University,Structural geology and geomorphology,,,,none,none,none
147,Dugan,Jenifer Dugan, UCSB,Jenifer Dugan UCSB,MSI,Coastal marine ecologist with broad interests in community and population dynamics,,,,ndVTt1IAAAAJ,https://scholar.google.com/citations?user=ndVTt1IAAAAJ&view_op=list_works&sortby=pubdate,['Marine and coastal ecology']
148,Evelyn,Christopher Evelyn, UCSB,Christopher Evelyn UCSB,ERI,"Conservation Biology, Ecology and Evolution; Species Diversity; Reptiales; Amphibians.",,,,none,none,none
149,Fleishman,Erica Fleishman, UCSB,Erica Fleishman UCSB,ERI / UCD,Ecosystem-based Management,,,,none,none,none
150,Florsheim,Joan Florsheim, UCSB,Joan Florsheim UCSB,ERI,Fluvial geomorphology and earth surface processes,,,,0k1FGKQAAAAJ,https://scholar.google.com/citations?user=0k1FGKQAAAAJ&view_op=list_works&sortby=pubdate,"['Fluvial Geomorphology', 'Hydrology', 'Earth Surface Processes']"
151,Gardner,Helene Gardner, UCSB,Helene Gardner UCSB,Environmental Studies,"Environmental Toxicology, Environmental Chemistry, Air Quality and Pollution",,,,none,none,none
152,Hannah,Lee Hannah, UCSB,Lee Hannah Conservation International,Bren School,Climate Change Biology and Conservation Biology,,,,IX0xGBYAAAAJ,https://scholar.google.com/citations?user=IX0xGBYAAAAJ&view_op=list_works&sortby=pubdate,['climate change biology']
153,Haskell,William Haskell, UCSB,William Haskell MBARI,ERI ,"Marine biogeochemistry, Biological production, Carbon export; Physiochemical dynamics; Autonomous platforms",,,,Af7YUqYAAAAJ,https://scholar.google.com/citations?user=Af7YUqYAAAAJ&view_op=list_works&sortby=pubdate,"['Marine biogeochemistry', 'Biological production', 'Carbon export', 'Physicochemical dynamics', 'Autonomous platforms']"
154,Hegarty,Paul Hegarty, UCSB,Paul Hegarty UCSB,ERI ,Monitoring how earthquakes affect ground movement and soil stability,,,,none,none,none
155,Hess,Laura Hess, UCSB,Laura Hess UCSB,ERI,Wetlands; Spatial variability of the deforestation along the Amazon,,,,ple6DvYAAAAJ,https://scholar.google.com/citations?user=ple6DvYAAAAJ&view_op=list_works&sortby=pubdate,"['Remote Sensing', 'Wetland Ecology/Hydrology/Conservation', 'Land Cover / Land Use Change', 'Object-based Image Analysis', 'Synthetic Aperture Radar']"
156,Homyak,Peter Homyak, UCSB,Peter Homyak UC Riverside,ERI,Ecosystem & Soil Microbial Processes,,,,ktDIOUAAAAAJ,https://scholar.google.com/citations?user=ktDIOUAAAAAJ&view_op=list_works&sortby=pubdate,['Ecosystem & soil microbial processes']
157,Husak,Greg Husak, UCSB,Greg Husak UCSB,Geography,"Cropped area estimation, developing rainfall monitoring tools to better capture crop conditions, and the synthesis of a variety of indicators to estimate crop production conditions for a finite area",,,,TL2FgTsAAAAJ,https://scholar.google.com/citations?user=TL2FgTsAAAAJ&view_op=list_works&sortby=pubdate,"['climate', 'food security', 'precipitation']"
158,Janee,Greg Janée, UCSB,Greg Janée UCSB,ERI,"Environmental Information Management, digital libraries",,,,none,none,none
159,Kappel,Carrie Kappel, UCSB,Carrie Kappel UCSB,NCEAS,"Marine Conservation Biology; community ecology, ocean and coastal management",,,,icGWVrkAAAAJ,https://scholar.google.com/citations?user=icGWVrkAAAAJ&view_op=list_works&sortby=pubdate,"['marine conservation biology', 'community ecology', 'spatial ecology', 'ocean and coastal management']"
160,Kellett,Dawn Kellett, UCSB,Dawn Kellett Geological Survey of Canada,,"Tectonics, Geochronology, Thermochronology",,,,xplysJkAAAAJ,https://scholar.google.com/citations?user=xplysJkAAAAJ&view_op=list_works&sortby=pubdate,"['Tectonics', 'Geochronology', 'Thermochronology']"
161,Knapp,Roland Knapp, UCSB,Roland Knapp UCSB,ERI,Herpetologist; examining how natural and anthropogenic factors influence the structure and function of aquatic ecosystems,,,,gBsUGUgAAAAJ,https://scholar.google.com/citations?user=gBsUGUgAAAAJ&view_op=list_works&sortby=pubdate,['Roland Knapp']
162,Kostadinov,Tihomir Kostadinov, UCSB,Tihomir Kostadinov California State University San Marcos,ERI,Earth System Science focusing on ocean optics and ocean color remote sensing. Development of bio-optical algorithms and the study of ocean ecology and biogeography using ocean color satellites,,,,IWOhrsgAAAAJ,https://scholar.google.com/citations?user=IWOhrsgAAAAJ&view_op=list_works&sortby=pubdate,"['Ocean Color Remote Sensing', 'Snow Remote Sensing', 'Astronomy/Milankovitch cycles', 'Earth System Science', 'Climate Science']"
163,Kylander-Clark,Andrew Kylander-Clark, UCSB,Andrew Kylander-Clark UCSB,Earth Science,Deep-time tectonics and Earth evolution,,,,RlddbsMAAAAJ,https://scholar.google.com/citations?user=RlddbsMAAAAJ&view_op=list_works&sortby=pubdate,['Andrew Kylander-Clark']
164,Lavallee,Daniel Lavallee, UCSB,Daniel Lavallee UCSB,ERI,"Statistic of source and ground motion, nonlinear propagation of wave, stochastic models, scaling",,,,none,none,none
165,Leifer,Ira Leifer, UCSB,Ira Leifer UCSB,MSI,"Bubble chemico-hydronamics, breaking wave bubble plume, and marine hydrocarbon seep bubble visualization and modeling, hydrocarbon seep geochemistry, oil droplet hydrodynamics, turbulence visualization and digital particle imaging velocimetry (DPIV) and methane seep bubble visualization and modeling.",,,,RLQzka0AAAAJ,https://scholar.google.com/citations?user=RLQzka0AAAAJ&view_op=list_works&sortby=pubdate,['Ira Leifer']
166,MacDonald,Andrew MacDonald, UCSB,Andrew MacDonald UCSB,ERI,"Disease ecologist focused on coupled natural-human system feedbacks and land use change as drivers of mosquito-borne disease, with an emphasis on malaria in the Amazon basin",,,,ykvB_M0AAAAJ,https://scholar.google.com/citations?user=ykvB_M0AAAAJ&view_op=list_works&sortby=pubdate,"['Disease Ecology', 'Epidemiology', 'Vector-Borne Diseases', 'Land Use Change', 'Climate Change']"
167,Maritorena,Stéphane Maritorena, UCSB,Stéphane Maritorena UCSB,ERI,"Marine optics, bio-optical modeling, ocean color algorithm development and remote sensing",,,,none,none,none
168,Mayes,Marc Mayes, UCSB,Marc Mayes UCSB,ERI,"Land use and climate change effects on terrestrial ecosystems, including carbon, nutrient and water cycling, with a focus on semi-arid developing landscapes in sub-Saharan Africa",,,,KH-oS7MAAAAJ,https://scholar.google.com/citations?user=KH-oS7MAAAAJ&view_op=list_works&sortby=pubdate,"['Ecosystem science', 'remote sensing', 'biogeochemistry', 'hydrology', 'conservation science']"
169,Means,Jay Means, UCSB,Jay Means UCSB,ERI,"Trace analytical chemistry, environmental chemistry, and environmental toxicology",,,,XTMiJv0AAAAJ,https://scholar.google.com/citations?user=XTMiJv0AAAAJ&view_op=list_works&sortby=pubdate,['Environmental chemistry and toxicology']
170,Michaelides,Katrina Michaelides, UCSB,Katerina Michaelides University of Bristol,ERI,Surface water flow generation and its interaction with the land surface,,,,SW4AbDkAAAAJ,https://scholar.google.com/citations?user=SW4AbDkAAAAJ&view_op=list_works&sortby=pubdate,['Katerina Michaelides']
171,Miller,Robert Miller, UCSB,Robert Miller UCSB,MSI and ERI,Benthic subtidal ecology; community ecology; primary producers in marine ecosystems,,,,RpbG49IAAAAJ,https://scholar.google.com/citations?user=RpbG49IAAAAJ&view_op=list_works&sortby=pubdate,['Marine Ecology']
172,Molinari,Nicole Molinari, UCSB,Nicole Molinari UCSB,EEMB,Controls of species diversity,,,,wQihAKsAAAAJ,https://scholar.google.com/citations?user=wQihAKsAAAAJ&view_op=list_works&sortby=pubdate,['Plant Ecology']
173,Molotch,Noah Molotch, UCSB,Noah Molotch University of Colorado,ERI,Surface water and snow hydrology; remote sensing; ecohydrology,,,,kTk4Hg4AAAAJ,https://scholar.google.com/citations?user=kTk4Hg4AAAAJ&view_op=list_works&sortby=pubdate,"['surface water and snow hydrology', 'ecohydrology', 'remote sensing']"
174,Moritz,Max Moritz, UCSB,Max Moritz UCSB,UC ANR,Understanding the dynamics of fire regimes at relatively broad scales and applying this information in ecosystem management,,,,A_0DKxMAAAAJ,https://scholar.google.com/citations?user=A_0DKxMAAAAJ&view_op=list_works&sortby=pubdate,"['Biogeography', 'Climate Change', 'Fire Ecology & Managment', 'Pyrogeography']"
175,Myers,Jan Myers, UCSB,Jan Myers UCSB,CCBER,K-12 Education,,,,none,none,none
176,Nelso,Norman Nelson, UCSB,Norman Nelson UCSB,ERI,"Ocean optics – cycling of organic matter in the ocean, primary productivity, UV photochemistry and photobiology, ocean color remote sensing, and planktonic community structure",,,,none,none,none
